frame_index,robot_timestamp_s,received_wall_time_s,timestamp,actual_q,actual_TCP_pose,target_current,actual_current,actual_current_window,urTimestamp,timer,wcrIn,weldCurrent,weldVoltage,xOffset,zOffset,BotRight_Plus,TopLeft_Minus,StandardCurrent,allIntegral,xUp,xUi,zUp,zUi,x,y,z,weldingOnOff,touchOnOff,ratioT_19,tri_count,tri_2,output_double_register_23,peak_value,Arc_percent,ARC_T_Plus,output_double_register_27,output_double_register_28,output_double_register_29,BotRight_Plus_VA,TopLeft_Minus_VA,output_double_register_32
3681,15440.815999999999,1778820046.593379,15440.815999999999,"[0.4984094202518463, -1.642754379902975, -1.171077076588766, -1.8166630903827112, 1.5361006259918213, 2.074896812438965]","[0.5701318630207775, 0.044081475841782417, 0.024382805184543832, 2.814824828790266, -0.024150945654176727, 1.3801093110420177]","[-0.01047912452751536, 1.2410885635487023, 1.7229867760720277, 1.1459748825662357, -0.24201441501058424, -0.007921033647940933]","[-0.010479124262928963, 1.2410885095596313, 1.7229868173599243, 1.14597487449646, -0.24201440811157227, -0.007921033538877964]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701319402122258,0.04047376247506582,0.022655582708035638,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3682,15440.823999999999,1778820046.6009474,15440.823999999999,"[0.5036032795906067, -1.6452143828021448, -1.1640422979937952, -1.8214181105243128, 1.535676121711731, 2.0800764560699463]","[0.5701320784461142, 0.045885391344859514, 0.02524668657934659, 2.814824614104713, -0.02415107429190277, 1.3801100960354535]","[-0.01062065010928178, 1.2423243824881232, 1.7209776753437107, 1.1445222335538459, -0.24450416441410083, -0.00797598154272742]","[-0.01062064990401268, 1.2423243522644043, 1.7209776639938354, 1.1445221900939941, -0.2445041686296463, -0.007975981570780277]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701318630207775,0.044081475841782417,0.024382805184543832,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3683,15440.831999999999,1778820046.6683772,15440.831999999999,"[0.5087774991989136, -1.6477411429034632, -1.156919304524557, -1.8261964956866663, 1.5352542400360107, 2.0852367877960205]","[0.5701320986281095, 0.04768924269337555, 0.026110449861732055, 2.8148245347493943, -0.024151283918077502, 1.380110259868504]","[-0.010756770748118911, 1.2436048101015866, 1.718949908526777, 1.1430539639414952, -0.24697815689868538, -0.00802949920866847]","[-0.010756771080195904, 1.2436047792434692, 1.7189499139785767, 1.1430540084838867, -0.24697816371917725, -0.008029499091207981]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320784461142,0.045885391344859514,0.02524668657934659,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3684,15440.84,1778820046.708077,15440.84,"[0.5139317512512207, -1.6503351370440882, -1.1497071425067347, -1.83099872270693, 1.5348349809646606, 2.09037709236145]","[0.5701319620171692, 0.049493075460344746, 0.026974014592002493, 2.8148246902882446, -0.02415097617054885, 1.3801098219716652]","[-0.010887402395277836, 1.2449288667199703, 1.7169038210567393, 1.141569987940679, -0.2494362916379445, -0.00808157773208121]","[-0.01088740210980177, 1.2449288368225098, 1.716903805732727, 1.141569972038269, -0.24943628907203674, -0.008081577718257904]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320986281095,0.04768924269337555,0.026110449861732055,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3685,15440.848,1778820046.710078,15440.848,"[0.5190658569335938, -1.652996842061178, -1.1424039045916956, -1.835825268422262, 1.5344182252883911, 2.0954976081848145]","[0.5701320223991277, 0.05129694437340643, 0.02783778472461873, 2.8148246176184406, -0.02415101177905401, 1.380110054692219]","[-0.01101246067102019, 1.2462955111412806, 1.7148397847668395, 1.1400701964599125, -0.2518784726624845, -0.008132209068494713]","[-0.01101246103644371, 1.24629545211792, 1.7148398160934448, 1.1400701999664307, -0.2518784701824188, -0.008132209070026875]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701319620171692,0.049493075460344746,0.026974014592002493,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3686,15440.856,1778820046.710078,15440.856,"[0.5241796374320984, -1.655726734791891, -1.1350091139422815, -1.8406770865069788, 1.5340042114257812, 2.100598096847534]","[0.5701319151074843, 0.053100784522627925, 0.02870125393598183, 2.814824769040862, -0.024151067295555807, 1.380109488964562]","[-0.01113186052775405, 1.247703635704575, 1.7127582011385638, 1.1385544550312172, -0.2543046088142467, -0.008181386017805582]","[-0.011131860315799713, 1.2477036714553833, 1.712758183479309, 1.1385544538497925, -0.2543046176433563, -0.008181385695934296]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701319620171692,0.049493075460344746,0.026974014592002493,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3687,15440.864,1778820046.7126725,15440.864,"[0.5292728543281555, -1.6585248152362269, -1.1275203863727015, -1.8455551306353968, 1.533592700958252, 2.105678081512451]","[0.5701320403152687, 0.05490472576750311, 0.029565172302897902, 2.8148246856994246, -0.024151160547634585, 1.3801102232911462]","[-0.0112455158946921, 1.2491520609204072, 1.7106595048735194, 1.1370226015422882, -0.25671461369696574, -0.00822910220064409]","[-0.011245516128838062, 1.2491520643234253, 1.7106595039367676, 1.137022614479065, -0.2567146122455597, -0.00822910200804472]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701319151074843,0.053100784522627925,0.02870125393598183,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3689,15440.88,1778820046.7922335,15440.88,"[0.5393968820571899, -1.6643293539630335, -1.1122568289386194, -1.85539418855776, 1.5327775478363037, 2.115776538848877]","[0.570132007178306, 0.05851238153128336, 0.03129240529463634, 2.8148246414335594, -0.02415124910837067, 1.3801097684321149]","[-0.011455241348300437, 1.2521646996190037, 1.706412704082147, 1.133909756581375, -0.26148590753697176, -0.008320130675612953]","[-0.011455241590738297, 1.2521647214889526, 1.706412672996521, 1.1339097023010254, -0.26148590445518494, -0.008320130407810211]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701321035542899,0.05670862448583765,0.0304287778639466,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3691,15440.895999999999,1778820046.8518085,15440.895999999999,"[0.5494364500045776, -1.6704137961017054, -1.0966013113604944, -1.865349594746725, 1.531973123550415, 2.125791072845459]","[0.5701320730244213, 0.062120224659520794, 0.03301988368004649, 2.8148246907135355, -0.02415119901573314, 1.380110264640554]","[-0.01164091187574485, 1.2553223105447522, 1.7021036904435947, 1.1307297112077905, -0.2661917559659272, -0.00840525871409363]","[-0.011640911921858788, 1.2553223371505737, 1.7021037340164185, 1.1307296752929688, -0.2661917507648468, -0.008405258879065514]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.570132007178306,0.05851238153128336,0.03129240529463634,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3692,15440.903999999999,1778820046.8518085,15440.903999999999,"[0.5544192790985107, -1.6735599676715296, -1.0886295477496546, -1.8703692595111292, 1.5315752029418945, 2.1307618618011475]","[0.5701320821037044, 0.06392229205030289, 0.033882706515390604, 2.8148246019977625, -0.024151225839998, 1.3801100662123538]","[-0.0563328833866356, 1.2705482221188407, 1.669655814008008, 1.1183834582910273, -0.2821247923669408, -0.008150143912345599]","[-0.05633288249373436, 1.2705482244491577, 1.6696557998657227, 1.1183834075927734, -0.282124787569046, -0.008150143548846245]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320730244213,0.062120224659520794,0.03301988368004649,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
