frame_index,robot_timestamp_s,received_wall_time_s,timestamp,actual_q,actual_TCP_pose,target_current,actual_current,actual_current_window,urTimestamp,timer,wcrIn,weldCurrent,weldVoltage,xOffset,zOffset,BotRight_Plus,TopLeft_Minus,StandardCurrent,allIntegral,xUp,xUi,zUp,zUi,x,y,z,weldingOnOff,touchOnOff,ratioT_19,tri_count,tri_2,output_double_register_23,peak_value,Arc_percent,ARC_T_Plus,output_double_register_27,output_double_register_28,output_double_register_29,BotRight_Plus_VA,TopLeft_Minus_VA,output_double_register_32
694,16419.863999999998,1778821057.5779912,16419.863999999998,"[0.5037246346473694, -1.6452725569354456, -1.163877312337057, -1.8215292135821741, 1.5356662273406982, 2.08019757270813]","[0.5701320465879177, 0.04592758943812582, 0.02526678760019435, 2.814824604244519, -0.02415119956099187, 1.380110017595914]","[-0.010621915766543418, 1.2423541544612942, 1.7209314308393362, 1.1444885384084067, -0.24456167913083357, -0.007977180950910481]","[-0.010621915571391582, 1.242354154586792, 1.7209314107894897, 1.1444885730743408, -0.24456167221069336, -0.007977181114256382]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320217619052,0.04231988513761389,0.023539420980817072,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,16419.872,1778821057.5872273,16419.872,"[0.5088983178138733, -1.6478007475482386, -1.1567524115191858, -1.8263080755816858, 1.5352444648742676, 2.085357189178467]","[0.5701320455901315, 0.047731469453800114, 0.026130550729854318, 2.8148246352569317, -0.02415117784057493, 1.3801102412374529]","[-0.010757986871427082, 1.243635578801486, 1.718903207572811, 1.1430198944856895, -0.24703531202356432, -0.00803066742585864]","[-0.010757986456155777, 1.2436355352401733, 1.7189031839370728, 1.1430199146270752, -0.24703530967235565, -0.008030666969716549]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320465879177,0.04592758943812582,0.02526678760019435,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,16419.88,1778821057.6039875,16419.88,"[0.5140520334243774, -1.6503966490374964, -1.1495378653155726, -1.8311107794391077, 1.5348252058029175, 2.0904972553253174]","[0.5701320104157239, 0.049535240597990096, 0.026994115763616044, 2.8148246187044035, -0.02415127651886037, 1.3801098185136915]","[-0.010888563994919907, 1.2449606097164723, 1.7168566728076218, 1.1415355422508973, -0.2494930845045931, -0.008082714491678814]","[-0.01088856440037489, 1.2449606657028198, 1.7168567180633545, 1.1415355205535889, -0.2494930773973465, -0.00808271486312151]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320455901315,0.047731469453800114,0.026130550729854318,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,16419.888,1778821057.605493,16419.888,"[0.5191856622695923, -1.6530597845660608, -1.1422327200519007, -1.835937801991598, 1.5344085693359375, 2.0956172943115234]","[0.5701320426232381, 0.05133912462773224, 0.027857876886270894, 2.814824603831392, -0.024151344981163954, 1.3801100778904287]","[-0.011013562860411759, 1.246328204438371, 1.7147921990131032, 1.1400353720311964, -0.25193490073531827, -0.008133314124777346]","[-0.01101356279104948, 1.2463282346725464, 1.714792251586914, 1.1400353908538818, -0.25193488597869873, -0.008133314549922943]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320104157239,0.049535240597990096,0.026994115763616044,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,16419.896,1778821057.6123683,16419.896,"[0.5242989659309387, -1.6557911078082483, -1.1348355452166956, -1.8407905737506312, 1.5339945554733276, 2.100717067718506]","[0.5701319035992872, 0.05314296448357154, 0.02872144404239646, 2.8148247638555284, -0.024151027161721392, 1.3801096215183937]","[-0.011132898510602581, 1.247737253660496, 1.712710188352451, 1.138519248726776, -0.25436066968563475, -0.008182459144904017]","[-0.01113289874047041, 1.2477372884750366, 1.7127101421356201, 1.138519287109375, -0.2543606758117676, -0.008182459510862827]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320426232381,0.05133912462773224,0.027857876886270894,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,16419.904,1778821057.6204567,16419.904,"[0.5293916463851929, -1.658591095601217, -1.1273444334613245, -1.8456690947162073, 1.5335830450057983, 2.1057965755462646]","[0.570132127652413, 0.05494689819864428, 0.02958534988929762, 2.8148245875995075, -0.02415117908919929, 1.3801104112707763]","[-0.011246484959946105, 1.2491865760889116, 1.7106110763270785, 1.1369870095386705, -0.256770305087169, -0.008230143193964489]","[-0.011246484704315662, 1.249186635017395, 1.71061110496521, 1.1369869709014893, -0.2567703127861023, -0.00823014322668314]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320426232381,0.05133912462773224,0.027857876886270894,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,16419.912,1778821057.6284854,16419.912,"[0.53446364402771, -1.6614602247821253, -1.1197589079486292, -1.8505752722369593, 1.5331742763519287, 2.1108555793762207]","[0.5701319781456693, 0.056750707537896405, 0.030448791226855343, 2.814824741129263, -0.024150964519839068, 1.3801096568120024]","[-0.011354234777898648, 1.2506749124692975, 1.7084953357961592, 1.1354384614818869, -0.2591637253730858, -0.00827636070269767]","[-0.011354235000908375, 1.2506749629974365, 1.7084953784942627, 1.1354384422302246, -0.2591637372970581, -0.008276361040771008]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.570132127652413,0.05494689819864428,0.02958534988929762,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,16419.92,1778821057.637116,16419.92,"[0.5395146608352661, -1.664398495350973, -1.1120765844928187, -1.8555095831500452, 1.5327681303024292, 2.115893840789795]","[0.5701320019876912, 0.058554586136455346, 0.0313126295936777, 2.8148247161847193, -0.02415106815346581, 1.3801100295085424]","[-0.011456058672239288, 1.252200918949754, 1.7063634815072737, 1.1338733786561215, -0.2615408536192692, -0.00832110686307097]","[-0.011456058360636234, 1.252200961112976, 1.7063634395599365, 1.1338733434677124, -0.26154085993766785, -0.008321106433868408]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701319781456693,0.056750707537896405,0.030448791226855343,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,16419.928,1778821057.6446464,16419.928,"[0.5445445775985718, -1.6674073378192347, -1.1042965094195765, -1.8604729811297815, 1.5323646068572998, 2.1209113597869873]","[0.5701319253584729, 0.06035836623299463, 0.03217610578835939, 2.814824721342769, -0.02415113249094083, 1.3801094496080433]","[-0.011551864990569557, 1.2537631597083823, 1.704216075173714, 1.13229149924389, -0.2639016174745529, -0.008364377593911064]","[-0.011551865376532078, 1.253763198852539, 1.7042161226272583, 1.132291555404663, -0.26390162110328674, -0.008364377543330193]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701320019876912,0.058554586136455346,0.0313126295936777,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,16419.935999999998,1778821057.6537948,16419.935999999998,"[0.5495531558990479, -1.6704867521869105, -1.0964162985431116, -1.8654664198504847, 1.5319637060165405, 2.1259074211120605]","[0.5701320762145476, 0.06216231332716734, 0.033039907523313816, 2.8148246592886617, -0.024150959987517148, 1.3801099628249258]","[-0.011641559190270687, 1.2553600987835005, 1.7020537311580608, 1.1306925222057445, -0.2662459490844808, -0.00840616950051214]","[-0.011641559191048145, 1.2553601264953613, 1.7020537853240967, 1.130692481994629, -0.26624596118927, -0.008406169712543488]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5701319253584729,0.06035836623299463,0.03217610578835939,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
