frame_index,robot_timestamp_s,received_wall_time_s,timestamp,actual_q,actual_TCP_pose,target_current,actual_current,actual_current_window,urTimestamp,timer,wcrIn,weldCurrent,weldVoltage,xOffset,zOffset,BotRight_Plus,TopLeft_Minus,StandardCurrent,allIntegral,xUp,xUi,zUp,zUi,x,y,z,weldingOnOff,touchOnOff,ratioT_19,tri_count,tri_2,output_double_register_23,peak_value,Arc_percent,ARC_T_Plus,output_double_register_27,output_double_register_28,output_double_register_29,BotRight_Plus_VA,TopLeft_Minus_VA,output_double_register_32
18492,17609.8,1778822290.0927289,17609.8,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18493,17609.808,1778822290.1003466,17609.808,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18494,17609.816,1778822290.1977658,17609.816,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18495,17609.824,1778822290.261515,17609.824,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18496,17609.832,1778822290.261515,17609.832,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18497,17609.84,1778822290.2763164,17609.84,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18499,17609.856,1778822290.3529222,17609.856,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18500,17609.863999999998,1778822290.3529222,17609.863999999998,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18504,17609.896,1778822290.4463358,17609.896,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18505,17609.904,1778822290.5638883,17609.904,"[0.46221646666526794, -1.7037628332721155, -1.5137203375445765, -1.4118121306048792, 1.5390832424163818, 2.0388071537017822]","[0.594455028368104, 0.04380810175569349, -0.06185360021638209, 2.8148245383697077, -0.024151397225692043, 1.380110723330618]","[8.518120541175212e-18, 1.4207598833075037, 1.75780550459302, 1.1598998737824695, -0.22517107990205337, -0.0031981919955436497]","[8.518120659613867e-18, 1.420759916305542, 1.7578054666519165, 1.1598998308181763, -0.2251710742712021, -0.0031981919892132282]","[3.798073115003808, 3.798073115003808, 4.285440390025987, 2.6302640264026405, 2.6302640264026405, 2.6302640264026405]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5944838375780308,0.043868994938803196,-0.06192762201088026,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
